word_id,gender,partner,animate,indeclinable,sg_only,pl_only
12,f,,0,0,0,0
34,m,,1,0,0,0
49,m,,0,0,0,0
56,n,,0,0,0,0
57,f,,0,0,0,0
61,f,,0,0,0,0
63,m,,0,0,0,0
67,n,,0,0,0,0
74,m,,0,0,0,0
78,m,,0,0,0,0
80,m,,0,0,0,0
81,f,,0,0,0,0
83,m,,0,0,0,0
92,f,,0,0,0,0
97,m,подру́га,1,0,0,0
100,m,,0,0,0,0
104,n,,0,0,0,0
106,n,,0,0,0,0
110,n,,0,0,0,0
120,f,,0,0,0,0
127,f,,0,0,0,0
132,f,,0,0,0,0
140,f,,0,0,0,0
142,,,,0,0,0
143,m,,0,0,0,0
144,m,,0,0,0,0
147,m,,0,0,0,0
148,m,,0,0,0,0
150,m,,1,0,0,0
153,f,,0,0,0,0
156,f,,0,0,0,0
157,f,,0,0,0,0
162,m,,0,0,0,0
165,m,,0,0,0,0
166,f,,0,0,0,0
167,m,,0,0,0,0
168,f,,0,0,0,0
169,f,,1,0,0,0
173,m,,1,0,0,0
175,m,,0,0,0,0
176,m,,1,0,0,0
177,m,,0,0,0,0
181,m,,0,0,0,0
185,f,,0,0,0,0
190,f,,0,0,0,0
197,f,,0,0,0,0
199,m,,1,0,0,0
203,f,,0,0,0,0
208,f,,0,0,0,0
211,f,,0,0,0,0
212,m,,0,0,0,0
213,f,муж,1,0,0,0
216,n,,0,0,0,0
217,f,,0,0,1,0
218,f,,1,0,0,0
221,f,,0,0,0,0
223,f,,0,0,0,0
230,f,,0,0,0,0
231,n,,0,0,0,0
233,m,,0,0,0,0
235,f,,0,0,0,0
236,f,,0,0,0,0
237,n,,0,0,0,0
241,m,,0,0,0,0
244,m,,0,0,0,0
246,m,,0,0,0,0
249,f,,0,0,0,0
253,m,богиня,1,0,0,0
258,m,,0,0,0,0
262,n,,0,0,0,0
265,f,,0,0,0,0
274,m,,0,0,0,0
278,n,,0,0,0,0
279,m,,0,0,0,0
280,,,0,0,1,0
282,m,,1,0,0,0
283,m,,0,0,0,0
284,f,,0,0,0,0
285,f,,0,0,0,0
290,f,,0,0,0,0
302,f,,0,0,0,0
303,m,,0,0,0,0
308,n,,0,0,0,0
312,m,,0,0,0,0
313,f,,1,0,0,0
315,m,старуха,1,0,0,0
317,f,,0,0,0,0
318,f,,0,0,0,0
319,m,,1,0,0,0
322,m,,0,0,0,0
323,n,,0,0,0,0
325,n,,0,0,0,0
326,n,,0,0,0,0
328,m,начальница,1,0,0,0
334,f,парень,1,0,0,0
335,m,,1,0,0,0
339,n,,0,0,0,0
341,f,,0,0,0,0
342,m,,0,0,1,0
351,pl,,1,0,0,1
352,m,,1,0,0,0
353,f,,0,0,0,0
358,m,,1,0,0,0
365,f,,0,0,0,0
367,m,,0,0,0,0
369,m,хозя́йка,1,0,0,0
370,n,,0,0,0,0
381,f,,0,0,0,0
383,m,,0,0,0,0
384,m,,1,0,0,0
389,m,девушка,1,0,0,0
390,f,,0,0,0,0
391,n,,0,0,0,0
392,f,,0,0,0,0
394,n,,0,0,0,0
396,f,,0,0,0,0
401,m,,0,0,0,0
407,m,,0,0,0,0
408,f,,0,0,0,0
409,m,,1,0,0,0
410,m,,0,0,0,0
414,f,,0,0,0,0
419,n,,0,0,0,0
420,m,,0,0,0,0
421,f,,0,0,0,0
422,f,,0,0,0,0
425,f,,0,0,0,0
430,n,,0,0,0,0
431,m,жена,1,0,0,0
432,m,,0,0,0,0
435,m,,0,0,0,0
436,m,,0,0,0,0
445,m,,0,0,0,0
446,m,,0,0,0,0
448,n,,0,0,0,0
449,f,,0,0,0,0
452,n,,0,0,0,0
453,m,немка,1,0,0,0
454,f,,0,0,0,0
455,m,,0,0,0,0
457,m,тётя,1,0,0,0
459,f,,0,0,0,0
461,f,,0,0,0,0
462,m,,0,0,0,0
465,f,,1,0,0,0
471,n,,0,0,0,0
473,m,,0,0,0,0
476,m,,0,0,0,0
480,f,,1,0,0,0
481,m,,0,0,0,0
483,m,,0,0,0,0
484,f,,0,0,0,0
485,f,,0,0,0,0
487,m,гостья,1,0,0,0
