word_id,aspect,partner
9,both,
28,perfective,"говорить;ска'зывать"
32,imperfective,смочь
50,imperfective,узнать
53,imperfective,"сказать;поговорить"
73,imperfective,"съесть;поесть"
90,imperfective,захотеть
94,imperfective,увидеть
96,imperfective,пойти'
99,imperfective,постоя'ть
107,imperfective,подумать
109,perfective,спрашивать
117,imperfective,пожи'ть
121,imperfective,посмотреть
122,imperfective,заиме'ть
124,perfective,понимать
125,imperfective,посиде'ть
128,imperfective,"сделать;поделать"
129,perfective,делать
137,perfective,брать
139,imperfective,понять
141,imperfective,показаться
146,perfective,начинать
159,perfective,видеть
161,imperfective,дать
164,perfective,Идти'
170,perfective,оставаться
174,perfective,выходить
178,perfective,давать
179,imperfective,"поработать;сработать"
180,perfective,оказываться
188,perfective,отвечать
191,perfective,думать
193,imperfective,полюбить
194,imperfective,
201,imperfective,подождать
204,perfective,смотреть
210,perfective,находить
215,imperfective,полежа'ть
219,perfective,решать
220,perfective,получать
222,imperfective,написа'ть
224,perfective,возвращаться
229,imperfective,"честь;счесть;посчитать"
242,imperfective,вспо'мнить
251,perfective,"знать;узнавать"
254,perfective,приходи'ть
255,imperfective,сходить
256,perfective,замечать
264,imperfective,побывать
266,imperfective,услышать
267,perfective,уходить
269,imperfective,"побояться;забояться"
272,imperfective,послушать
281,imperfective,"глянуть;погляде'ть"
287,perfective,садиться
291,imperfective,остаться
294,imperfective,захотеться
297,perfective,писать
300,imperfective,"прочитать;почитать;прочесть"
301,imperfective,почувствовать
305,imperfective,"повести;води'ть"
310,imperfective,продолжить
316,perfective,успевать
321,imperfective,"взять;побрать"
329,perfective,проходить
330,imperfective,начать
332,perfective,появляться
337,perfective,забывать
338,perfective,"вспоминать;по'мнить"
345,imperfective,попытаться
346,imperfective,найтись
347,imperfective,"подержать;сдержать"
348,imperfective,попросить
349,perfective,показывать
355,imperfective,вы'йти
357,perfective,поднима'ть
359,imperfective,назвать
361,perfective,"посылать;слать"
362,perfective,подходить
363,perfective,рассказывать
366,perfective,вставать
368,imperfective,спросить
371,imperfective,последовать
372,perfective,"поставлять;ставить;проставляться"
373,perfective,бросать
377,perfective,оставлять
393,imperfective,ответить
395,imperfective,уйти
397,perfective,входить
399,imperfective,рассказать
400,imperfective,"замолчать;помолчать;промолчать"
403,imperfective,поспать
405,imperfective,явиться
411,imperfective,поискать
412,perfective,останавливаться
418,imperfective,поверить
424,imperfective,сыгра'ть
429,imperfective,стать
437,perfective,мочь
439,imperfective,побежать
442,perfective,приезжать
444,perfective,принимать
447,perfective,открывать
451,imperfective,произойти
458,imperfective,"поехать;е'здить"
463,imperfective,собраться
464,perfective,"казаться;показываться"
467,perfective,попадать
468,perfective,слышать
469,imperfective,прийти'
470,imperfective,"крикнуть;закрича'ть"
472,perfective,происходить
474,perfective,подниматься
478,perfective,случаться
486,imperfective,постараться
492,perfective,ехать
503,imperfective,суметь
515,imperfective,"заняться;позанима'ться"
517,perfective,класть
541,perfective,начинаться
543,imperfective,позвать
549,imperfective,пройти
550,perfective,удаваться
557,perfective,приходиться
559,perfective,снимать
561,perfective,представлять
563,perfective,произносить
568,perfective,объяснять
571,imperfective,представить
573,perfective,покупать
574,imperfective,просуществовать
577,perfective,умирать
584,imperfective,"выпить;попить"
596,perfective,сообщать
598,perfective,называть
606,perfective,убивать
609,perfective,соглашаться
616,perfective,улыбаться
619,imperfective,улыбнуться
620,perfective,чувствовать
624,imperfective,понравиться
629,perfective,приводить
630,perfective,предлагать
631,perfective,вызывать
636,imperfective,"хватить;схватить"
637,perfective,приносить
648,imperfective,принять
654,perfective,проводить
655,perfective,хватать
664,imperfective,"прийтись;придтись"
665,perfective,кричать
666,perfective,просить
667,imperfective,потребовать
670,imperfective,"засмеяться;посмеяться;рассмея'ться"
676,perfective,"присылать;слать"
685,imperfective,"верну'ться;возврати'ться"
689,imperfective,оказаться
691,perfective,терять
695,perfective,"пить;выпивать"
696,imperfective,показать
707,perfective,отдавать
709,perfective,кивать
711,perfective,исчезать
720,perfective,получаться
721,perfective,помогать
726,imperfective,"побить;разбить"
729,perfective,"создавать;созидать"
735,imperfective,вспомнить
736,imperfective,получить
739,perfective,падать
742,perfective,доставать
745,imperfective,понадеяться
750,imperfective,"послать;присла'ть"
752,perfective,приходиться
753,perfective,вздыхать
771,imperfective,"спеть;пропеть"
776,perfective,прощать
784,perfective,переставать
790,perfective,жаловать
801,imperfective,-
807,imperfective,появиться
812,both,
813,perfective,взглядывать
826,perfective,"протягивать;тяну'ть"
827,imperfective,"послужить;послужи'ть"
830,perfective,уезжать
831,perfective,"верить;поверять"
838,imperfective,вызвать
839,imperfective,назваться
840,perfective,встречать
843,imperfective,разговорить
844,perfective,позволять
845,perfective,обнаруживать
847,perfective,поворачиваться
852,imperfective,подойти
862,imperfective,повисеть
864,imperfective,выглядывать
865,imperfective,подействовать
866,imperfective,понести
869,imperfective,сгореть
871,perfective,добавлять
874,imperfective,сесть
877,imperfective,помочь
893,perfective,повторять
900,imperfective,отнестись
902,imperfective,"выучиться;научиться"
904,perfective,удивляться
913,perfective,"погибать;гибнуть"
916,imperfective,подержаться
919,perfective,передавать
921,imperfective,"выстрелить;стрельнуть;постреля'ть"
925,imperfective,"провести;провожа'ть"
931,imperfective,войти
934,imperfective,двинуться
935,perfective,возникать
941,perfective,звонить
942,perfective,крича'ть
945,perfective,приказывать
949,perfective,пробовать
954,imperfective,"износить;наносить"
956,perfective,кончаться
957,imperfective,"заплакать;поплакать"
959,imperfective,помешать
964,imperfective,получиться
967,imperfective,"пожелать;возжелать"
970,perfective,привыкать
972,imperfective,посудить
981,imperfective,пообещать
983,imperfective,поставить
986,imperfective,коснуться
989,imperfective,"выколоть;расколоть"
991,perfective,собираться
994,imperfective,-
995,imperfective,возникнуть
1016,imperfective,полететь
1022,perfective,заявлять
1026,imperfective,-
1029,imperfective,начаться
1031,perfective,ударять
1032,imperfective,напомнить
1033,perfective,заставлять
1035,perfective,"говорить;поговаривать"
1044,imperfective,позвонить
1050,perfective,объявлять
1058,perfective,придумывать
1059,perfective,бросаться
1061,perfective,пытаться
1068,perfective,"хватать;схватывать"
1069,perfective,принима'ться
1072,perfective,отказываться
1081,perfective,отправляться
1082,imperfective,встать
1084,perfective,обращаться
1087,imperfective,предложить
1097,perfective,смеяться
1101,imperfective,"упасть;пасть"
1102,perfective,заканчивать
1103,imperfective,снять
1108,imperfective,встретиться
1112,imperfective,
1113,imperfective,зайти
1114,perfective,спасать
1118,perfective,бежать
1127,imperfective,позволить
1128,perfective,закрывать
1130,both,
1138,imperfective,
1140,perfective,уметь
1142,perfective,заговаривать
1144,imperfective,подняться
1145,perfective,"вытаскивать;тащить"
1151,imperfective,обратиться
1155,imperfective,"воспользоваться;попользоваться"
1162,imperfective,считать
1164,imperfective,открыть
1168,perfective,браться
1169,perfective,встречаться
1171,imperfective,заметить
1172,imperfective,понаблюдать
1180,perfective,опускать
1182,perfective,спешивать
1191,perfective,"оборачиваться;обёртываться"
1195,perfective,останавливать
1202,imperfective,покурить
1203,imperfective,
1207,perfective,просыпаться
1208,perfective,устраивать
1209,perfective,нравиться
